Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/integral/0.0/3.14,5532,0,480.0,479.83559711262166,22.86836500024947,1000.4408700006024,128.0,30.861619612087324,0.0,480,510,540,560,610,660,720,770,870,1000,1000
,Aggregated,5532,0,480.0,479.83559711262166,22.86836500024947,1000.4408700006024,128.0,30.861619612087324,0.0,480,510,540,560,610,660,720,770,870,1000,1000
