Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/0.0/3.14,14927,0,160.0,177.51090083071034,56.374099999999316,1511.4342000000001,133.0,83.2308312714723,0.0,160,180,210,220,250,320,430,570,960,1500,1500
,Aggregated,14927,0,160.0,177.51090083071034,56.374099999999316,1511.4342000000001,133.0,83.2308312714723,0.0,160,180,210,220,250,320,430,570,960,1500,1500
