Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0.0/3.14159,204,0,13000.0,12559.381269656844,1332.6915500001633,16250.43026900039,139.0,1.141762280138561,0.0,13000,13000,13000,13000,14000,16000,16000,16000,16000,16000,16000
,Aggregated,204,0,13000.0,12559.381269656844,1332.6915500001633,16250.43026900039,139.0,1.141762280138561,0.0,13000,13000,13000,13000,14000,16000,16000,16000,16000,16000,16000
