Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/integral/0.0/3.14,1832,13,1400.0,1445.4077483940964,26.428721000229416,17815.753562999816,147.94268558951964,10.214593922282495,0.07248347215593473,1400,1800,1900,2000,2300,2500,2800,3400,17000,18000,18000
,Aggregated,1832,13,1400.0,1445.4077483940964,26.428721000229416,17815.753562999816,147.94268558951964,10.214593922282495,0.07248347215593473,1400,1800,1900,2000,2300,2500,2800,3400,17000,18000,18000
